"from","to","id","col","score","result","compare"
"1","1","0","index","True","True","True"
"1436","1436","0","id","True","True","True"
"Pub Beer","Pub Beer","0","beer_name","True","True","True"
"American Pale Lager","American Pale Lager","0","style","True","True","True"
"12.0 oz","12","0","ounces","False","False","False"
"0.05","0.05","0","abv","True","True","True"
"N/A","","0","ibu","False","False","False"
"408","408","0","brewery_id","True","True","True"
"10 Barrel Brewing Company","10 Barrel Brewing Company","0","brewery_name","True","True","True"
"Bend","Bend","0","city","True","True","True"
"OR","OR","0","state","True","True","True"
"2","2","1","index","True","True","True"
"2265","2265","1","id","True","True","True"
"Devil's Cup","Devil's Cup","1","beer_name","True","True","True"
"American Pale Ale (APA)","American Pale Ale (APA)","1","style","True","True","True"
"12.0 oz.","12","1","ounces","False","False","False"
"0.066","0.066","1","abv","True","True","True"
"N/A","","1","ibu","False","False","False"
"177","177","1","brewery_id","True","True","True"
"18th Street Brewery","18th Street Brewery","1","brewery_name","True","True","True"
"Gary","Gary","1","city","True","True","True"
"IN","IN","1","state","True","True","True"
"3","3","2","index","True","True","True"
"2264","2264","2","id","True","True","True"
"Rise of the Phoenix","Rise of the Phoenix","2","beer_name","True","True","True"
"American IPA","American IPA","2","style","True","True","True"
"12.0 ounce","12","2","ounces","False","False","False"
"0.071","0.071","2","abv","True","True","True"
"N/A","","2","ibu","False","False","False"
"177","177","2","brewery_id","True","True","True"
"18th Street Brewery","18th Street Brewery","2","brewery_name","True","True","True"
"Gary","Gary","2","city","True","True","True"
"IN","IN","2","state","True","True","True"
"4","4","3","index","True","True","True"
"2263","2263","3","id","True","True","True"
"Sinister","Sinister","3","beer_name","True","True","True"
"American Double / Imperial IPA","American Double / Imperial IPA","3","style","True","True","True"
"12.0 oz","12","3","ounces","False","False","False"
"0.09%","0.09","3","abv","False","False","False"
"N/A","","3","ibu","False","False","False"
"177","177","3","brewery_id","True","True","True"
"18th Street Brewery","18th Street Brewery","3","brewery_name","True","True","True"
"Gary","Gary","3","city","True","True","True"
"IN","IN","3","state","True","True","True"
"5","5","4","index","True","True","True"
"2262","2262","4","id","True","True","True"
"Sex and Candy","Sex and Candy","4","beer_name","True","True","True"
"American IPA","American IPA","4","style","True","True","True"
"12.0 OZ.","12","4","ounces","False","False","False"
"0.075","0.075","4","abv","True","True","True"
"N/A","","4","ibu","False","False","False"
"177","177","4","brewery_id","True","True","True"
"18th Street Brewery","18th Street Brewery","4","brewery_name","True","True","True"
"Gary","Gary","4","city","True","True","True"
"IN","IN","4","state","True","True","True"
"6","6","5","index","True","True","True"
"2261","2261","5","id","True","True","True"
"Black Exodus","Black Exodus","5","beer_name","True","True","True"
"Oatmeal Stout","Oatmeal Stout","5","style","True","True","True"
"12.0 oz","12","5","ounces","False","False","False"
"0.077","0.077","5","abv","True","True","True"
"N/A","","5","ibu","False","False","False"
"177","177","5","brewery_id","True","True","True"
"18th Street Brewery","18th Street Brewery","5","brewery_name","True","True","True"
"Gary","Gary","5","city","True","True","True"
