"from","to","id","col","score","result","compare"
"1","1","0","tuple_id","True","True","True"
"aa","aa","0","src","True","True","True"
"AA-3859-IAH-ORD","AA-3859-IAH-ORD","0","flight","True","True","True"
"7:10 a.m.","7:10 a.m.","0","sched_dep_time","True","True","True"
"7:16 a.m.","7:16 a.m.","0","act_dep_time","True","True","True"
"9:40 a.m.","9:40 a.m.","0","sched_arr_time","True","True","True"
"9:32 a.m.","9:32 a.m.","0","act_arr_time","False","True","True"
"2","2","1","tuple_id","True","True","True"
"aa","aa","1","src","True","True","True"
"AA-1733-ORD-PHX","AA-1733-ORD-PHX","1","flight","True","True","True"
"7:45 p.m.","7:45 p.m.","1","sched_dep_time","True","True","True"
"7:58 p.m.","7:58 p.m.","1","act_dep_time","True","True","True"
"10:30 p.m.","10:30 p.m.","1","sched_arr_time","True","True","True"
"","10:30 p.m.","1","act_arr_time","False","False","False"
"3","3","2","tuple_id","True","True","True"
"aa","aa","2","src","True","True","True"
"AA-1640-MIA-MCO","AA-1640-MIA-MCO","2","flight","True","True","True"
"6:30 p.m.","6:30 p.m.","2","sched_dep_time","True","True","True"
"","6:30 p.m.","2","act_dep_time","False","False","False"
"7:25 p.m.","7:25 p.m.","2","sched_arr_time","True","True","True"
"","7:25 p.m.","2","act_arr_time","False","False","False"
"4","4","3","tuple_id","True","True","True"
"aa","aa","3","src","True","True","True"
"AA-518-MIA-JFK","AA-518-MIA-JFK","3","flight","True","True","True"
"6:40 a.m.","6:40 a.m.","3","sched_dep_time","True","True","True"
"6:54 a.m.","6:54 a.m.","3","act_dep_time","True","True","True"
"9:25 a.m.","9:25 a.m.","3","sched_arr_time","True","True","True"
"9:28 a.m.","9:28 a.m.","3","act_arr_time","False","True","True"
"5","5","4","tuple_id","True","True","True"
"aa","aa","4","src","True","True","True"
"AA-3756-ORD-SLC","AA-3756-ORD-SLC","4","flight","True","True","True"
"12:15 p.m.","12:15 p.m.","4","sched_dep_time","True","True","True"
"12:41 p.m.","12:41 p.m.","4","act_dep_time","False","True","True"
"2:45 p.m.","2:45 p.m.","4","sched_arr_time","True","True","True"
"2:50 p.m.","2:50 p.m.","4","act_arr_time","False","True","True"
"6","6","5","tuple_id","True","True","True"
"aa","aa","5","src","True","True","True"
"AA-204-LAX-MCO","AA-204-LAX-MCO","5","flight","True","True","True"
"11:25 p.m.","11:25 p.m.","5","sched_dep_time","True","True","True"
"","11:25 p.m.","5","act_dep_time","False","False","False"
"12/02/2011 6:55 a.m.","6:55 a.m.","5","sched_arr_time","False","False","False"
"","6:55 a.m.","5","act_arr_time","False","False","False"
"7","7","6","tuple_id","True","True","True"
"aa","aa","6","src","True","True","True"
"AA-3468-CVG-MIA","AA-3468-CVG-MIA","6","flight","True","True","True"
"7:00 a.m.","7:00 a.m.","6","sched_dep_time","True","True","True"
"7:25 a.m.","7:25 a.m.","6","act_dep_time","True","True","True"
"9:55 a.m.","9:55 a.m.","6","sched_arr_time","True","True","True"
"9:45 a.m.","9:45 a.m.","6","act_arr_time","True","True","True"
"8","8","7","tuple_id","True","True","True"
"aa","aa","7","src","True","True","True"
"AA-484-DFW-MIA","AA-484-DFW-MIA","7","flight","True","True","True"
"4:15 p.m.","4:15 p.m.","7","sched_dep_time","True","True","True"
"4:29 p.m.","4:29 p.m.","7","act_dep_time","False","True","True"
"7:55 p.m.","7:55 p.m.","7","sched_arr_time","True","True","True"
"7:39 p.m.","7:39 p.m.","7","act_arr_time","False","True","True"
"9","9","8","tuple_id","True","True","True"
"aa","aa","8","src","True","True","True"
"AA-446-DFW-PHL","AA-446-DFW-PHL","8","flight","True","True","True"
"11:50 a.m.","11:50 a.m.","8","sched_dep_time","True","True","True"
"12:12 p.m.","12:12 p.m.","8","act_dep_time","False","True","True"
"3:50 p.m.","3:50 p.m.","8","sched_arr_time","True","True","True"
"4:09 p.m.","4:09 p.m.","8","act_arr_time","False","True","True"
"10","10","9","tuple_id","True","True","True"
