"from","to","id","col","score","result","compare"
"1","1","0","index","True","True","True"
"10018","10018","0","ProviderNumber","True","True","True"
"callahan eye foundation hospital","callahan eye foundation hospital","0","HospitalName","False","True","True"
"1720 university blvd","1720 university blvd","0","Address1","True","True","True"
"empty","empty","0","Address2","True","True","True"
"empty","empty","0","Address3","True","True","True"
"birmingham","birmingham","0","City","False","True","True"
"al","al","0","State","True","True","True"
"35233","35233","0","ZipCode","True","True","True"
"jefferson","jefferson","0","CountyName","True","True","True"
"2053258100","2053258100","0","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","0","HospitalType","True","True","True"
"voluntary non-profit - private","voluntary non-profit - private","0","HospitalOwner","True","True","True"
"yes","yes","0","EmergencyService","True","True","True"
"surgical infection prevention","surgical infection prevention","0","Condition","False","True","True"
"scip-card-2","scip-card-2","0","MeasureCode","True","True","True"
"surgery patients who were taking heart drugs caxxed beta bxockers before coming to the hospitax who were kept on the beta bxockers during the period just before and after their surgery","surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery","0","MeasureName","False","False","False"
"empty","empty","0","Score","False","True","True"
"empty","empty","0","Sample","True","True","True"
"al_scip-card-2","al_scip-card-2","0","Stateavg","False","True","True"
"2","2","1","index","True","True","True"
"10018","10018","1","ProviderNumber","True","True","True"
"callahan eye foundation hospital","callahan eye foundation hospital","1","HospitalName","False","True","True"
"1720 university blvd","1720 university blvd","1","Address1","True","True","True"
"empty","empty","1","Address2","True","True","True"
"empty","empty","1","Address3","True","True","True"
"birmingham","birmingham","1","City","False","True","True"
"al","al","1","State","True","True","True"
"35233","35233","1","ZipCode","True","True","True"
"jefferson","jefferson","1","CountyName","True","True","True"
"2053258100","2053258100","1","PhoneNumber","True","True","True"
"acute care hospitals","acute care hospitals","1","HospitalType","True","True","True"
"voluntary non-profit - private","voluntary non-profit - private","1","HospitalOwner","True","True","True"
"yes","yes","1","EmergencyService","True","True","True"
"surgical infection prevention","surgical infection prevention","1","Condition","False","True","True"
"scip-inf-1","scip-inf-1","1","MeasureCode","True","True","True"
"surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection","1","MeasureName","False","True","True"
"empty","empty","1","Score","False","True","True"
"empty","empty","1","Sample","True","True","True"
"al_scip-inf-1","al_scip-inf-1","1","Stateavg","False","True","True"
"3","3","2","index","True","True","True"
"10018","10018","2","ProviderNumber","True","True","True"
"callahan eye foundation hospital","callahan eye foundation hospital","2","HospitalName","False","True","True"
"1720 university blvd","1720 university blvd","2","Address1","True","True","True"
"empty","empty","2","Address2","True","True","True"
"empty","empty","2","Address3","True","True","True"
"birmingham","birmingham","2","City","False","True","True"
"al","al","2","State","True","True","True"
"35233","35233","2","ZipCode","True","True","True"
"jefferson","jefferson","2","CountyName","True","True","True"
"2053258100","2053258100","2","PhoneNumber","True","True","True"
