"from","to","id","col","score","result","compare"
"235295","235295","0","id","True","True","True"
"Late repair of injuries of the anal sphincter","Late repair of injuries of the anal sphincter","0","article_title","True","True","True"
"eng","eng","0","article_language","True","True","True"
"Proc R Soc Med","Proc R Soc Med","0","journal_title","True","True","True"
"Proceedings of the Royal Society of Medicine","Proceedings of the Royal Society of Medicine","0","jounral_abbreviation","True","True","True"
"0035-9157 (Print) 0035-9157","0035-9157 (Print) 0035-9157","0","journal_issn","True","True","True"
"64","64","0","article_jvolumn","True","True","True"
"12","12","0","article_jissue","True","True","True"
"1/1/71","1/1/71","0","article_jcreated_at","False","True","True"
"1187-9","1187-9","0","article_pagination","True","True","True"
"{""A. G. Parks"",""J. F. McPartlin""}","{""A. G. Parks"",""J. F. McPartlin""}","0","author_list","True","True","True"
"498345","498345","1","id","True","True","True"
"Ebola Virus GP Gene Polyadenylation Versus RNA Editing.","Ebola Virus GP Gene Polyadenylation Versus RNA Editing.","1","article_title","True","True","True"
"ENG","ENG","1","article_language","True","True","True"
"The Journal of infectious diseases","The Journal of infectious diseases","1","journal_title","True","True","True"
"J. Infect. Dis.","J. Infect. Dis.","1","jounral_abbreviation","True","True","True"
"1537-6613","1537-6613","1","journal_issn","True","True","True"
"","-1","1","article_jvolumn","False","False","False"
"","-1","1","article_jissue","False","False","False"
"4/2/15","2/15/04","1","article_jcreated_at","False","False","False"
"","","1","article_pagination","True","True","True"
"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}","{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}","1","author_list","True","True","True"
"789958","789958","2","id","True","True","True"
"Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.","Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.","2","article_title","True","True","True"
"eng","eng","2","article_language","True","True","True"
"Indian journal of ophthalmology","Indian journal of ophthalmology","2","journal_title","True","True","True"
"Indian J Ophthalmol","Indian J Ophthalmol","2","jounral_abbreviation","True","True","True"
"0301-4738","0301-4738","2","journal_issn","True","True","True"
"54","54","2","article_jvolumn","True","True","True"
"4","4","2","article_jissue","True","True","True"
"12/1/06","1/6/12","2","article_jcreated_at","False","False","False"
"283-4","283-4","2","article_pagination","True","True","True"
"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}","{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}","2","author_list","True","True","True"
"169865","169865","3","id","True","True","True"
"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]","[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]","3","article_title","True","True","True"
"pol","pol","3","article_language","True","True","True"
"","","3","journal_title","True","True","True"
"","","3","jounral_abbreviation","True","True","True"
"","","3","journal_issn","True","True","True"
"84","84","3","article_jvolumn","True","True","True"
"0","0","3","article_jissue","True","True","True"
"1/1/13","1/13/01","3","article_jcreated_at","False","False","False"
"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","3","article_pagination","True","True","True"
"{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}","{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}","3","author_list","True","True","True"
"803653","803653","4","id","True","True","True"
"Diagnosis and Management of Cutaneous B-cell Lymphoma.","Diagnosis and Management of Cutaneous B-cell Lymphoma.","4","article_title","True","True","True"
"eng","eng","4","article_language","True","True","True"
"Dermatologic clinics","Dermatologic clinics","4","journal_title","True","True","True"
"Dermatol Clin","Dermatol Clin","4","jounral_abbreviation","True","True","True"
"1558-0520","1558-0520","4","journal_issn","True","True","True"
"33","33","4","article_jvolumn","True","True","True"
"4","4","4","article_jissue","True","True","True"
"10/1/15","1/15/10","4","article_jcreated_at","False","False","False"
"835-40","835-40","4","article_pagination","True","True","True"
"{""Lauren C Pinter-Brown""}","{""Lauren C Pinter-Brown""}","4","author_list","True","True","True"
"98234","98234","5","id","True","True","True"
"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain","Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain","5","article_title","True","True","True"
"eng","eng","5","article_language","True","True","True"
"","","5","journal_title","True","True","True"
"","","5","jounral_abbreviation","True","True","True"
"","","5","journal_issn","True","True","True"
"10","10","5","article_jvolumn","True","True","True"
"4","4","5","article_jissue","True","True","True"
"1/1/09","1/9/01","5","article_jcreated_at","False","False","False"
"185-91","185-91","5","article_pagination","True","True","True"
"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}","{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}","5","author_list","True","True","True"
"823730","823730","6","id","True","True","True"
"Activation and blockade of beta adrenoceptors in common cardiac disorders","Activation and blockade of beta adrenoceptors in common cardiac disorders","6","article_title","True","True","True"
"eng","eng","6","article_language","True","True","True"
"Br Med Bull","Br Med Bull","6","journal_title","True","True","True"
"British medical bulletin","British medical bulletin","6","jounral_abbreviation","True","True","True"
"0007-1420","0007-1420","6","journal_issn","True","True","True"
"29","29","6","article_jvolumn","True","True","True"
"2","2","6","article_jissue","True","True","True"
"1/1/73","1/1/73","6","article_jcreated_at","False","True","True"
"163-7","163-7","6","article_pagination","True","True","True"
"{""B N Prichard"",""J W Black""}","{""B N Prichard"",""J W Black""}","6","author_list","True","True","True"
"729712","729712","7","id","True","True","True"
"Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury","Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury","7","article_title","True","True","True"
"English; ABSTRACT LANGUAGE:English","English; ABSTRACT LANGUAGE:English","7","article_language","True","True","True"
"American journal of respiratory and critical care medicine","American journal of respiratory and critical care medicine","7","journal_title","True","True","True"
"","","7","jounral_abbreviation","True","True","True"
"","","7","journal_issn","True","True","True"
"164","164","7","article_jvolumn","True","True","True"
"1","1","7","article_jissue","True","True","True"
"7/1/01","1/1/07","7","article_jcreated_at","False","False","False"
"43-49","43-49","7","article_pagination","True","True","True"
"{""St��_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}","{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}","7","author_list","True","False","False"
"396821","396821","8","id","True","True","True"
"Awareness of deficits and on-road driving performance","Awareness of deficits and on-road driving performance","8","article_title","True","True","True"
"English","English","8","article_language","True","True","True"
"Clinical Neuropsychologist","Clinical Neuropsychologist","8","journal_title","True","True","True"
"","","8","jounral_abbreviation","True","True","True"
"1385-4046","1385-4046","8","journal_issn","True","True","True"
"25","25","8","article_jvolumn","True","True","True"
"7","7","8","article_jissue","True","True","True"
"1/1/11","1/11/01","8","article_jcreated_at","False","False","False"
"1158-78","1158-78","8","article_pagination","True","True","True"
"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}","{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}","8","author_list","True","True","True"
"340222","340222","9","id","True","True","True"
"A comparative evaluation of two head and neck immobilization devices using electronic portal imaging","A comparative evaluation of two head and neck immobilization devices using electronic portal imaging","9","article_title","True","True","True"
"","","9","article_language","True","True","True"
"The British journal of radiology","The British journal of radiology","9","journal_title","True","True","True"
"","","9","jounral_abbreviation","True","True","True"
"","","9","journal_issn","True","True","True"
"79","79","9","article_jvolumn","True","True","True"
"938","938","9","article_jissue","True","True","True"
"1/1/06","1/6/01","9","article_jcreated_at","False","False","False"
"158-61","158-61","9","article_pagination","True","True","True"
"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}","{""K. Fleming"",""K. Donato"",""K. Leszczynski""}","9","author_list","True","True","True"
"184417","184417","10","id","True","True","True"
"Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects","Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects","10","article_title","True","True","True"
"","","10","article_language","True","True","True"
"Transportation Research Part D-Transport and Environment","Transportation Research Part D-Transport and Environment","10","journal_title","True","True","True"
"","","10","jounral_abbreviation","True","True","True"
"1361-9209","1361-9209","10","journal_issn","True","True","True"
"14","14","10","article_jvolumn","True","True","True"
"5","5","10","article_jissue","True","True","True"
"1/1/09","1/9/01","10","article_jcreated_at","False","False","False"
"317-325","317-325","10","article_pagination","True","True","True"
"{""J. L. Li"",""P. Newcomb""}","{""J. L. Li"",""P. Newcomb""}","10","author_list","True","True","True"
"729686","729686","11","id","True","True","True"
"Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis","Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis","11","article_title","True","True","True"
"English","English","11","article_language","True","True","True"
