"data","count"
"","35258330"
"20","25801191"
"e ","21394440"
"er","20836534"
"in","20758583"
"an","20512536"
"01","19873553"
"on","19193951"
", ","17638001"
"te","16512437"
"at","15345814"
"/2","14677009"
"or","14620713"
"s ","14278890"
"n ","14097547"
"ar","14076427"
"es","13734320"
"en","13606844"
"al","13439062"
"le","13303414"
"00","12932870"
"d ","12496881"
"re","12221291"
"t ","11889491"
" S","11552677"
"th","11220720"
"he","10870226"
"nd","10787026"
"ti","10712643"
"r ","10421093"
"nt","10349710"
"ed","9971363"
"ra","9965780"
"st","9960027"
"ri","9792298"
" a","9573620"
"ng","9570419"
" t","9546653"
"ta","9024288"
"it","8857562"
" 2","8853500"
"to","8273927"
" C","8231073"
"y ","8148546"
"ic","8124316"
" 1","8107603"
"is","8052333"
"ll","7966572"
"12","7958911"
"ro","7864274"
"la","7725623"
"ne","7658720"
"el","7541802"
"/1","7473162"
"as","7436659"
"10","7170402"
"li","7158105"
"l ","7144509"
"15","7031438"
"me","7030453"
"io","7027222"
" A","6952485"
"Ma","6866449"
"11","6853937"
"se","6849069"
"a ","6742344"
"ou","6732723"
" M","6720805"
"ea","6586076"
"ma","6532517"
"-0","6366570"
"ni","6289853"
"il","6238161"
"19","6218787"
" o","6167652"
"de","6167612"
". ","6002991"
"ch","5903884"
"na","5900095"
"om","5854522"
"ia","5756189"
"ur","5750148"
"o ","5654862"
"co","5594156"
"St","5529495"
"ve","5452773"
"ay","5429959"
"  ","5396155"
"13","5384274"
"am","5319108"
"ce","5312021"
"et","5311326"
"da","5306920"
"ol","5262454"
"rs","5233496"
" P","5135698"
"rt","5123231"
"0/","4939794"
"14","4939641"
" T","4920608"
" s","4844947"
"ie","4842007"
"/0","4823315"
"ad","4751221"
" B","4727214"
"un","4694086"
"ec","4680930"
"ct","4616496"
"ns","4606271"
"hi","4566585"
"-1","4565525"
" f","4503918"
"ha","4471310"
" i","4448764"
"tr","4436445"
"ac","4432621"
"di","4396467"
" R","4378005"
"09","4370254"
"lo","4367560"
"g ","4297503"
"si","4283601"
"Co","4278144"
"07","4257441"
" D","4229199"
"us","4212314"
"1/","4194852"
"ss","4147365"
"ge","4131641"
" c","4107363"
"ca","4082674"
"ut","4062077"
" F","4061265"
"of","4019809"
".0","3978118"
"ot","3968325"
" p","3954314"
"f ","3943574"
"h ","3923966"
"em","3915317"
"vi","3897852"
"pe","3861788"
"nc","3847826"
"/5","3724471"
"id","3706957"
"so","3649962"
"06","3607697"
"5/","3590778"
"2/","3549407"
"pr","3538460"
"ee","3525048"
"05","3508853"
"ai","3484398"
" (","3479188"
" H","3470308"
"08","3440302"
" L","3440000"
"7/","3431189"
"fo","3350941"
"ul","3342409"
" b","3341864"
"os","3332378"
" W","3327546"
"ho","3317149"
" d","3262099"
"ir","3259504"
"6/","3256166"
"-2","3207297"
" I","3205213"
"04","3175186"
" N","3071976"
"no","3046357"
"02","3003843"
"03","2968030"
"4/","2927100"
"Ca","2879317"
"Re","2878140"
"rd","2869147"
"ck","2859535"
" G","2855870"
"ep","2843343"
"8/","2796868"
"ts","2784225"
"9/","2764803"
" 0","2754735"
"16","2748640"
"ry","2745226"
"4.","2745147"
"mi","2725621"
"No","2722046"
"fi","2715874"
"17","2713300"
"Un","2709346"
"Th","2696256"
" E","2682687"
"ov","2680440"
"3/","2680362"
"Se","2680094"
"po","2662491"
"ow","2659325"
"be","2646029"
"18","2640487"
": ","2620779"
"sh","2618666"
"oo","2591557"
"ig","2575805"
"iv","2574747"
"ba","2574598"
":0","2573035"
"ke","2546922"
